row,month,year,DriversKilled,drivers,front,rear,kms,PetrolPrice,VanKilled,law,both_sides
1,Jan,1969,107,1687,867,269,9059,0.10297181,12,0,1136
2,Feb,1969,97,1508,825,265,7685,0.102363,6,0,1090
3,Mar,1969,102,1507,806,319,9963,0.10206249,12,0,1125
4,Apr,1969,87,1385,814,407,10955,0.1008733,8,0,1221
5,May,1969,119,1632,991,454,11823,0.10101967,10,0,1445
6,Jun,1969,106,1511,945,427,12391,0.10058119,13,0,1372
7,Jul,1969,110,1559,1004,522,13460,0.10377398,11,0,1526
8,Aug,1969,106,1630,1091,536,14055,0.1040764,6,0,1627
9,Sep,1969,107,1579,958,405,12106,0.10377398,10,0,1363
10,Oct,1969,134,1653,850,437,11372,0.1030264,16,0,1287
11,Nov,1969,147,2152,1109,434,9834,0.10273011,13,0,1543
12,Dec,1969,180,2148,1113,437,9267,0.10199719,14,0,1550
13,Jan,1970,125,1752,925,316,9130,0.10127456,14,0,1241
14,Feb,1970,134,1765,903,311,8933,0.10070398,6,0,1214
15,Mar,1970,110,1717,1006,351,11000,0.10013961,8,0,1357
16,Apr,1970,102,1558,892,362,10733,0.0986211,11,0,1254
17,May,1970,103,1575,990,486,12912,0.09834929,7,0,1476
18,Jun,1970,111,1520,866,429,12926,0.09808018,13,0,1295
19,Jul,1970,120,1805,1095,551,13990,0.09727921,13,0,1646
20,Aug,1970,129,1800,1204,646,14926,0.09741062,11,0,1850
21,Sep,1970,122,1719,1029,456,12900,0.09742524,11,0,1485
22,Oct,1970,183,2008,1147,475,12034,0.09638063,14,0,1622
23,Nov,1970,169,2242,1171,456,10643,0.09573896,16,0,1627
24,Dec,1970,190,2478,1299,468,10742,0.09510631,14,0,1767
25,Jan,1971,134,2030,944,356,10266,0.09673597,17,0,1300
26,Feb,1971,108,1655,874,271,10281,0.09610922,16,0,1145
27,Mar,1971,104,1693,840,354,11527,0.09536725,15,0,1194
28,Apr,1971,117,1623,893,427,12281,0.09470959,13,0,1320
29,May,1971,157,1805,1007,465,13587,0.09411762,13,0,1472
30,Jun,1971,148,1746,973,440,13049,0.09353215,15,0,1413
31,Jul,1971,130,1795,1097,539,16055,0.09295405,12,0,1636
32,Aug,1971,140,1926,1194,646,15220,0.09283979,6,0,1840
